Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,IS
TCGA_3L_AA1B,-0.149336451,0.248602306,0.039142691,0.008155868,0.029813081,-0.043159427,0.016758943,-0.009224062,-0.006913707,0.006728149,0.037114156,-0.041167746,0.001494896,-0.009422539,0.000274546,0.005822841,-0.002618063,0.001579428,0.000410725,0.023510951,-0.003446888,-0.000216216,1
TCGA_5M_AAT6,-0.234386518,0.389387192,0.061883543,0.014009136,0.045637411,-0.06751195,0.026308458,-0.013894112,-0.011418196,0.010784135,0.058090553,-0.064450995,0.001201746,-0.016288632,0.001340258,0.01343866,-0.00412135,0.00243882,0.001038408,0.036465256,-0.0055115,-7.32E-06,1
TCGA_A6_2674,-0.027779901,0.045032845,0.006129892,-0.001847862,0.002739275,-0.003147924,0.001361776,-0.003277499,0.000953293,0.001668954,0.009109746,-0.011005617,0.003597326,0.009243983,-0.000348149,-0.013902251,0.00185766,-0.000143909,-0.00352311,0.010791584,-0.004716425,-0.001543306,1
TCGA_A6_2677,-0.002791093,0.004976905,0.000623289,-0.000270861,0.000513389,-7.32E-05,0.000494681,-0.000481695,-6.90E-05,6.25E-05,0.001416667,-0.001547454,0.000397477,0.000361756,4.48E-06,-0.000740714,-6.03E-05,-4.52E-05,-0.001045462,0.001199806,0.000155121,-0.000252887,1
TCGA_A6_2679,-0.850167305,1.466898241,0.336674147,0.043774047,0.157507849,-0.24048809,0.101652011,-0.030121096,-0.058022758,0.033756549,0.232653694,-0.250225504,0.007377495,-0.058257312,0.001472758,0.036519874,-0.017437108,0.012502056,-0.006201676,0.140583503,-0.010332486,0.000619746,1
TCGA_A6_2680,-0.116397832,0.197332201,0.037368625,0.006218836,0.022489662,-0.033281832,0.013592198,-0.006004769,-0.006404653,0.004997822,0.030727734,-0.033587326,0.001109409,-0.00782563,0.00024117,0.005142263,-0.001903104,0.001478415,-0.000389558,0.019188704,-0.002221945,3.47E-06,1
TCGA_A6_2684,-0.032353164,0.053964474,0.008595366,0.001667066,0.006159066,-0.009169368,0.003729721,-0.001853293,-0.00124018,0.001454318,0.008669358,-0.009577354,-0.00011254,-0.001979238,0.000461331,0.001398727,0.002928917,0.000260075,-0.000334102,0.00574439,-0.000807464,1.13E-05,1
TCGA_A6_2685,-0.150961534,0.25177555,0.040070933,0.008527339,0.029761214,-0.043523105,0.017034582,-0.009261992,-0.006922425,0.006877637,0.037831946,-0.042040083,0.001491808,-0.009716233,0.000329306,0.00713613,-0.002608444,0.001608664,0.000649613,0.023973422,-0.003264875,-2.27E-05,1
TCGA_A6_4107,-0.518247104,0.862272624,0.140184514,0.028347668,0.104122385,-0.150880602,0.057631437,-0.031618008,-0.025159518,0.023076409,0.128808868,-0.14233571,0.004836789,-0.033895656,0.00078173,0.021279007,-0.009229992,0.005740769,0.001912681,0.081194991,-0.011134763,-0.000446929,1
TCGA_A6_5661,-0.123060284,0.204242011,0.031898264,0.006969302,0.022867918,-0.033538316,0.013845811,-0.007701798,-0.005441916,0.005324786,0.031357897,-0.034692176,0.001126928,-0.008670184,0.00035964,0.005523064,-0.001779864,0.001355543,-0.000417019,0.020399186,-0.002901321,3.67E-05,1
TCGA_A6_5664,-0.127602444,0.212724754,0.033291506,0.0069709,0.025514155,-0.036175284,0.014516095,-0.008175275,-0.0057977,0.005676123,0.033526911,-0.037100473,0.000855456,-0.009207668,0.000356602,0.006722409,-0.001909361,0.001260993,-0.001758861,0.022081276,-0.003414817,7.46E-06,1
TCGA_A6_6137,-0.095261287,0.16011681,0.027019308,0.004996028,0.018127454,-0.026282446,0.011093327,-0.005641386,-0.004301528,0.004019745,0.025230766,-0.027770684,0.000947963,-0.006415584,0.000173891,0.003816677,-0.001531165,0.001265904,-0.001232659,0.016364569,-0.002302236,-8.09E-05,1
TCGA_A6_6138,-0.159511142,0.265752665,0.042099485,0.008859662,0.028817012,-0.043261676,0.018188776,-0.00895645,-0.007438394,0.006729388,0.0410243,-0.045185404,0.001012862,-0.010183013,0.001882061,0.006695164,-0.000906411,0.001678315,-0.000768542,0.026185731,-0.004390116,-0.000114905,1
TCGA_A6_6649,-0.10629395,0.178229737,0.029478766,0.006074663,0.020373313,-0.029852034,0.0121384,-0.006263854,-0.00525109,0.004615158,0.027110474,-0.02989958,0.001150908,-0.007058782,0.000322423,0.004629256,-0.001759825,0.0012661,0.000484155,0.017036695,-0.002406245,-9.21E-05,1
TCGA_A6_6651,-0.441719173,0.735044549,0.117385923,0.024904275,0.087830673,-0.128319527,0.049566501,-0.026807285,-0.021288815,0.019698394,0.109826939,-0.121459517,0.003810782,-0.026995456,0.001174169,0.019260087,-0.007049325,0.004569053,0.002295526,0.068792134,-0.00966303,-0.00035244,1
TCGA_A6_6654,-0.110320752,0.183977587,0.029206701,0.007273658,0.021229586,-0.03245526,0.012772906,-0.006391893,-0.00472338,0.005022991,0.02870707,-0.031821277,-0.002247979,-0.00547371,0.001381653,0.012295932,0.004188821,0.000464701,-3.59E-05,0.018281178,-0.003200849,0.000469551,1
TCGA_A6_6781,-0.096024257,0.159838212,0.023509175,0.002714055,0.016597652,-0.020381431,0.009652072,-0.007516796,-0.003233256,0.003361906,0.031013569,-0.033699211,0.001107434,-0.006974027,0.000460925,0.000790841,-0.002150632,0.001235266,-0.002518886,0.025426955,-0.005741475,0.001045122,1
TCGA_A6_6782,-0.232151027,0.386028768,0.061492986,0.012991069,0.046104037,-0.06709723,0.026208985,-0.01453624,-0.011066372,0.010503023,0.0580656,-0.064245542,0.002259037,-0.015122459,0.000606493,0.009605158,-0.004292781,0.00247487,0.000512498,0.036789649,-0.005065922,-0.000166413,1
TCGA_A6_A5ZU,-0.107357738,0.17883982,0.027927853,0.006105742,0.021245952,-0.031187255,0.012352205,-0.006515296,-0.005147147,0.004721362,0.026946969,-0.029678699,0.00101591,-0.006348183,0.000507926,0.004874081,-0.001939953,0.000968175,0.000680603,0.016726968,-0.002423668,-0.000105008,1
TCGA_AA_3489,-0.664071935,1.105405142,0.176223762,0.037094715,0.132157902,-0.192471121,0.074418088,-0.040760455,-0.032260972,0.029585826,0.165284161,-0.18274204,0.006001129,-0.043146654,0.001544224,0.028138922,-0.011657348,0.006986307,0.002892854,0.104005616,-0.014751603,-0.000431649,1
TCGA_AA_3495,-0.350759491,0.582132042,0.092805438,0.019112824,0.070508717,-0.101800048,0.039466925,-0.021994245,-0.016478407,0.015811827,0.087366179,-0.096813677,0.003161539,-0.023043351,0.000542838,0.01405134,-0.005999463,0.003848934,4.60E-05,0.055707809,-0.008091986,-0.000320768,1
TCGA_AA_3502,-0.130164127,0.21736354,0.035761015,0.007482112,0.024878369,-0.0365566,0.014660628,-0.007789278,-0.006192756,0.005808942,0.032768775,-0.036326836,0.001317172,-0.008842314,0.000240134,0.005715018,-0.002185921,0.001496517,0.000434812,0.020794619,-0.002841409,-0.000113515,1
TCGA_AA_3506,-0.217879136,0.364388751,0.061510018,0.012207224,0.04281246,-0.062859854,0.024736098,-0.012821831,-0.010701737,0.010005137,0.05543397,-0.061340185,0.001899362,-0.01426991,0.000414684,0.009344527,-0.00357813,0.002472638,-0.000444233,0.035264053,-0.004749145,-0.0001058,1
TCGA_AA_3517,-0.089828663,0.151490804,0.025771374,0.004268066,0.017777092,-0.025311287,0.011145949,-0.005566497,-0.004260428,0.003804057,0.02518708,-0.027547112,0.000680053,-0.006162377,0.00012531,0.003805191,-0.001384875,0.001038581,-0.0028988,0.016803512,-0.002587122,-2.99E-05,1
TCGA_AA_3519,-0.184814894,0.308539472,0.050675149,0.009313934,0.036910224,-0.052966506,0.021450149,-0.011656764,-0.008809471,0.008260757,0.047951843,-0.052976742,0.001883383,-0.011973211,0.000174757,0.006515542,-0.003251988,0.002117061,-0.002447059,0.031278743,-0.004690387,-0.000287269,1
TCGA_AA_3522,-0.1764942,0.293566561,0.046982112,0.009643879,0.034752071,-0.050371547,0.019716385,-0.010960794,-0.008210319,0.007984329,0.044297166,-0.049198253,0.001623788,-0.011693924,0.000329626,0.007016497,-0.003255516,0.001974743,-0.000418056,0.028543423,-0.004176702,-0.00019882,1
TCGA_AA_3530,-0.174198556,0.290437699,0.047326474,0.009474554,0.034351451,-0.049794241,0.019636898,-0.010583698,-0.008302929,0.007623484,0.044189158,-0.048778495,0.001602809,-0.011694693,0.000314882,0.007117521,-0.002762873,0.001933193,-0.000478307,0.028182662,-0.003932614,-0.000159255,1
TCGA_AA_3532,-0.195568981,0.32570537,0.052791481,0.010913272,0.038249561,-0.056060253,0.022453091,-0.011169221,-0.009647024,0.008421154,0.049202909,-0.05421864,0.000938637,-0.013760618,0.001129028,0.010560805,-0.002149334,0.002200694,0.000519691,0.030843473,-0.004671903,9.07E-05,1
TCGA_AA_3538,-0.100924597,0.16841435,0.027118736,0.005342429,0.020519438,-0.029496011,0.013022018,-0.006486635,-0.005002354,0.004153982,0.026158187,-0.028604532,0.000906105,-0.006597891,0.000175936,0.004713623,-0.001680273,0.00107059,0.000196596,0.016224579,-0.002473652,3.89E-05,1
TCGA_AA_3544,-0.283282942,0.470449156,0.075285896,0.015906281,0.055758365,-0.082014859,0.031919588,-0.016990175,-0.012954004,0.012656172,0.070582011,-0.077968213,0.001993991,-0.017251255,0.001124429,0.01232628,-0.002345198,0.002894868,0.001210432,0.044535938,-0.006583665,-0.000156241,1
TCGA_AA_3548,-0.151494214,0.254747121,0.045365753,0.008571738,0.028645226,-0.042722008,0.017375176,-0.008171496,-0.007566707,0.006488813,0.038940385,-0.042806826,0.001333409,-0.010111061,0.000439178,0.006621309,-0.002317974,0.001747521,-6.37E-05,0.02433515,-0.002917249,-5.41E-05,1
TCGA_AA_3560,-0.176562633,0.293043659,0.045953025,0.009897992,0.034699959,-0.050413345,0.019963347,-0.010968441,-0.007971443,0.00795294,0.044102934,-0.049002462,0.001882467,-0.011794583,0.000321612,0.007304463,-0.002576483,0.001939644,0.000316455,0.028130012,-0.003984275,-0.000124642,1
TCGA_AA_3678,-0.132501682,0.220830907,0.034837362,0.007040034,0.026211461,-0.03769223,0.015433014,-0.008472837,-0.005961541,0.005850015,0.034193315,-0.037803486,0.001214665,-0.008925106,0.000312006,0.005350077,-0.002010259,0.001519214,-0.001019485,0.022160066,-0.003343391,-6.68E-05,1
TCGA_AA_3679,-0.125188236,0.208549685,0.033466821,0.00691285,0.024925712,-0.03617412,0.01412433,-0.007754805,-0.006036458,0.005474986,0.031592828,-0.034684995,0.00120799,-0.008313449,0.000297526,0.005191699,-0.001964702,0.001382665,0.000440208,0.019847901,-0.002879076,-9.99E-05,1
TCGA_AA_3680,-0.123842279,0.206516925,0.033305078,0.00702316,0.024118892,-0.035161328,0.013863236,-0.007591725,-0.00575962,0.005654535,0.030998241,-0.034397228,0.001211028,-0.008248487,0.000263476,0.00537712,-0.002089969,0.001364568,0.000267776,0.019700199,-0.002805881,-0.000136927,1
TCGA_AA_3681,-0.219073803,0.365882331,0.061227891,0.011887892,0.043195826,-0.062822581,0.024827546,-0.013011938,-0.010639189,0.00964775,0.056160411,-0.061886901,0.001712126,-0.014944912,0.000552203,0.009185822,-0.002611727,0.002466523,-0.00093834,0.03596619,-0.005003806,-5.17E-05,1
TCGA_AA_3684,-0.09719792,0.164192674,0.030106836,0.005558546,0.018317999,-0.027650083,0.011320101,-0.004865848,-0.004898687,0.004328649,0.025352227,-0.027967316,0.000935494,-0.005873728,0.000297574,0.004537387,-0.001068206,0.001077369,-0.000327483,0.015926658,-0.00164285,0.000123013,1
TCGA_AA_3685,-0.192772969,0.321722915,0.053933008,0.010021961,0.038107279,-0.055520931,0.02597168,-0.011271849,-0.010445251,0.00762985,0.049861447,-0.054266835,0.001465044,-0.012685119,0.001556219,0.007879,-0.001900537,0.001902136,0.001132764,0.030278457,-0.004790442,-3.12E-05,1
TCGA_AA_3688,-0.10499234,0.175064103,0.028012684,0.005730672,0.020948596,-0.030285373,0.012349324,-0.006604522,-0.004952732,0.004628122,0.026751957,-0.029530162,0.001031371,-0.006940958,0.000196179,0.004305677,-0.001655369,0.001150444,-1.30E-05,0.016970768,-0.002456832,-6.22E-05,1
TCGA_AA_3697,-0.108846877,0.181876474,0.029242138,0.005885211,0.021525326,-0.03111572,0.012476593,-0.006874491,-0.005033619,0.004826657,0.028469969,-0.03139735,0.000793773,-0.00756839,0.000262425,0.004873383,-0.001182086,0.001141761,-0.001224799,0.018631453,-0.002867523,-4.25E-05,1
TCGA_AA_3713,-0.142049208,0.237573557,0.041400822,0.0083059,0.026973199,-0.040073321,0.016257153,-0.008287496,-0.007076654,0.006352518,0.036452262,-0.040061894,0.001072834,-0.00962144,0.000604838,0.00643872,-0.001808113,0.001638577,2.70E-05,0.022893135,-0.003176405,3.23E-06,1
TCGA_AA_3715,-0.217110584,0.361563734,0.057790828,0.012124554,0.041462832,-0.061396424,0.02447459,-0.012931849,-0.010038766,0.009510455,0.055138583,-0.060581766,0.001614493,-0.012619879,0.001355505,0.009656199,-0.003107927,0.002296371,0.000635953,0.034801942,-0.005052238,2.51E-05,1
TCGA_AA_3811,-0.313079697,0.520852428,0.084908245,0.017476587,0.062459454,-0.090878444,0.034942824,-0.018903615,-0.015286418,0.013830757,0.078059969,-0.086143133,0.00288363,-0.02082815,0.000670589,0.013488448,-0.005552087,0.003513425,0.001218907,0.049069572,-0.006718645,-0.000150045,1
TCGA_AA_3814,-0.133026037,0.221659293,0.035930306,0.007396284,0.025712038,-0.03750959,0.015297285,-0.008085814,-0.006237508,0.005752087,0.033972877,-0.0375155,0.000852272,-0.009332075,0.00067303,0.006746353,-0.001721098,0.001358997,-0.000279168,0.021663679,-0.003091112,0.000115403,1
TCGA_AA_3831,-0.238876802,0.399633379,0.068649923,0.012762307,0.047039379,-0.068333516,0.027489402,-0.013931819,-0.012137318,0.010269305,0.06130588,-0.067367235,0.002271842,-0.016063633,0.00036738,0.009913794,-0.004402981,0.00280694,-0.00086011,0.038790067,-0.005078961,-0.000112169,1
TCGA_AA_3833,-0.187944967,0.313092454,0.0506625,0.010795941,0.037205865,-0.054573804,0.021158558,-0.011230586,-0.00912452,0.0083779,0.047493687,-0.052459788,0.001157697,-0.012675407,0.000350772,0.009164593,-0.002388439,0.00201294,-0.000453597,0.030343985,-0.004150703,0.000206072,1
TCGA_AA_3841,-0.143565566,0.243296301,0.046155477,0.007866883,0.027448223,-0.041013634,0.016782002,-0.007143668,-0.007887814,0.00608616,0.037712657,-0.041161367,0.001395943,-0.009166419,0.000352672,0.006147003,-0.002557851,0.001777586,-0.000363462,0.023388994,-0.002684573,1.75E-05,1
TCGA_AA_3845,-0.17890959,0.297430538,0.04772981,0.01004562,0.034768552,-0.05103439,0.020106479,-0.0103662,-0.008844588,0.007860144,0.044900313,-0.049426497,0.001090346,-0.011996685,0.001106735,0.008544533,-0.0026027,0.001793657,0.000403373,0.028284212,-0.004432483,-2.15E-06,1
TCGA_AA_3846,-0.124069865,0.20818871,0.035295777,0.006269445,0.024090698,-0.03480714,0.014569949,-0.007243835,-0.006070034,0.005300951,0.033470819,-0.036738486,0.000822022,-0.008955682,0.00019403,0.005065902,-0.001305927,0.00150693,-0.002924549,0.022098427,-0.003147465,-3.29E-05,1
TCGA_AA_3850,-0.62741408,1.043274699,0.168092558,0.034128412,0.126505543,-0.182770554,0.070878669,-0.038863198,-0.030415318,0.02794908,0.156705044,-0.173161027,0.005700074,-0.041299129,0.000844541,0.025906144,-0.010756994,0.006909275,0.001347469,0.099065869,-0.013872706,-0.000426673,1
TCGA_AA_3852,-0.155641587,0.259181115,0.041347943,0.008586265,0.030570768,-0.044301793,0.017388265,-0.009764506,-0.007137419,0.006965553,0.039446848,-0.043675106,0.001309198,-0.010546239,0.000272937,0.007440348,-0.002709534,0.00173375,-0.000474259,0.025388968,-0.003707012,-1.62E-05,1
TCGA_AA_3855,-0.332498653,0.552993211,0.088544147,0.018120813,0.066909342,-0.096585104,0.037450784,-0.020817299,-0.01571538,0.014854686,0.083356478,-0.092129505,0.003169393,-0.022017376,0.000460065,0.013538609,-0.005674618,0.003615537,0.000162636,0.052967312,-0.007560909,-0.000271792,1
TCGA_AA_3856,-0.331361762,0.551782531,0.089902921,0.018393602,0.065510529,-0.095670189,0.037220791,-0.019752852,-0.015780885,0.01459554,0.082926426,-0.091611307,0.002908208,-0.021591583,0.000875615,0.013803058,-0.004765991,0.003650645,0.000736279,0.052278624,-0.007237772,-0.000252083,1
TCGA_AA_3858,-0.135794641,0.226716777,0.03725561,0.007366582,0.026717053,-0.038869328,0.015327921,-0.008177547,-0.006429646,0.005865321,0.034612091,-0.03812742,0.001258892,-0.00920375,0.00034591,0.005871331,-0.002393824,0.001506178,-0.00035618,0.022071628,-0.003175515,-8.69E-05,1
TCGA_AA_3860,-0.238846471,0.401524417,0.071145762,0.012386214,0.046227422,-0.067568283,0.027566109,-0.013255413,-0.012296836,0.010190801,0.062943026,-0.068986473,0.001893825,-0.015947018,0.000730303,0.009691693,-0.003159173,0.002770586,-0.002818073,0.040329925,-0.005231459,-8.38E-05,1
TCGA_AA_3861,-0.462875943,0.763727925,0.135344038,0.027125354,0.095273415,-0.137228111,0.051027881,-0.030999678,-0.020430575,0.021204738,0.113013273,-0.125943949,0.004201678,-0.030587116,0.000659757,0.018919724,-0.008115025,0.004889542,0.001846268,0.072451015,-0.010955304,-0.000290231,1
TCGA_AA_3866,-0.138227599,0.230117624,0.036358978,0.00799659,0.026666898,-0.039112049,0.016131905,-0.008188133,-0.006426539,0.005727203,0.035783615,-0.039482868,-0.000461833,-0.010716754,0.000987415,0.011057642,-4.52E-07,0.001403826,-0.000933506,0.023006244,-0.003891324,0.00042003,1
TCGA_AA_3867,-0.092913971,0.155706292,0.026177203,0.005194021,0.018621805,-0.027133899,0.011648066,-0.00551818,-0.004932784,0.003864714,0.023763825,-0.026018748,0.000612993,-0.006634679,0.000231747,0.005480263,-0.001684305,0.001033278,0.000643435,0.014493597,-0.002068697,3.13E-05,1
TCGA_AA_3875,-0.16185951,0.269880128,0.045071939,0.008725931,0.031345446,-0.046310834,0.018564282,-0.009344704,-0.007934006,0.007106885,0.040495461,-0.044794133,0.001401244,-0.009449621,0.000532366,0.005497858,-0.002609806,0.001890585,7.68E-05,0.025597785,-0.00383298,7.84E-05,1
TCGA_AA_3949,-0.293752692,0.486985312,0.076336818,0.016603476,0.056271116,-0.083354885,0.032873087,-0.016624084,-0.014128117,0.013068241,0.073556915,-0.081224596,0.001091321,-0.020345649,0.002583722,0.012940972,-0.000425986,0.003059082,0.000629659,0.047078873,-0.007469602,0.000432112,1
TCGA_AA_3956,-0.159179164,0.265021711,0.042846844,0.008890966,0.031495772,-0.045754422,0.017977946,-0.009896663,-0.007392005,0.00712795,0.039957495,-0.044286722,0.001510136,-0.010570828,0.000258391,0.006461872,-0.002668191,0.001849853,0.000264028,0.025473665,-0.003669471,-0.000112631,1
TCGA_AA_3968,-0.119127531,0.198956572,0.032992723,0.006437605,0.02318137,-0.033885075,0.014202867,-0.007042684,-0.005658056,0.004965172,0.030704294,-0.033723084,0.001000156,-0.007891829,0.000450549,0.00505134,-0.001276745,0.001313592,-0.000227789,0.019395133,-0.002764758,-5.40E-05,1
TCGA_AA_3971,-0.351287588,0.58879595,0.104842691,0.019298599,0.069049216,-0.101534891,0.040281222,-0.019545589,-0.018370302,0.015177665,0.089348207,-0.098111777,0.00305887,-0.023310842,0.000759781,0.014955793,-0.005227368,0.00413898,0.000648436,0.055678843,-0.006951225,-0.000138272,1
TCGA_AA_3975,-0.086152926,0.145103237,0.025277698,0.004561445,0.016830347,-0.024629967,0.010629326,-0.004958018,-0.004348192,0.003581168,0.022759743,-0.024834392,0.000843037,-0.005538408,0.000219605,0.003820741,-0.001380613,0.001009121,-0.000171992,0.014171473,-0.001891933,-2.15E-05,1
TCGA_AA_3986,-0.64607439,1.075176488,0.175141397,0.035583694,0.129109769,-0.187326755,0.073166205,-0.039368921,-0.031202237,0.028274156,0.161690162,-0.178445607,0.005844663,-0.042566369,0.001568893,0.026722573,-0.011333408,0.007053855,0.001576272,0.101938609,-0.014454807,-0.000428272,1
TCGA_AA_3989,-0.30932125,0.514739056,0.083254402,0.017049126,0.061790048,-0.089602265,0.034934079,-0.019008633,-0.014900669,0.013701116,0.077661649,-0.085806869,0.002606867,-0.020751328,0.000682743,0.013554936,-0.005307725,0.003358186,0.000249403,0.049210413,-0.006972559,-0.00016124,1
TCGA_AA_A01P,-0.773024159,1.281388312,0.202968964,0.042580077,0.149961235,-0.220859826,0.085453624,-0.045083023,-0.037334782,0.033592023,0.190861374,-0.210550393,0.005617375,-0.050299874,0.003629482,0.031832009,-0.014931982,0.011856939,0.003815503,0.119674288,-0.016368362,-0.000357205,1
TCGA_AA_A004,-0.149780313,0.256151828,0.05040811,0.008306028,0.027780565,-0.042147536,0.017646635,-0.006916475,-0.008374796,0.006220943,0.039889471,-0.043451359,0.001288334,-0.009653328,0.000285298,0.006330798,-0.003020083,0.001919799,-0.000916214,0.024787508,-0.002706637,-3.28E-05,1
TCGA_AA_A022,-0.157258693,0.262816013,0.044408968,0.010826832,0.027719061,-0.043870869,0.018615065,-0.008522268,-0.007384882,0.007375912,0.04065932,-0.044965717,0.001178983,-0.010801047,0.000767144,0.006893278,-0.002685221,0.002055494,-0.000779852,0.025652745,-0.00322231,-3.24E-05,1
TCGA_AD_6899,-0.157297941,0.262376365,0.042469247,0.008851262,0.029850816,-0.044067694,0.017883866,-0.009390367,-0.007419386,0.007160837,0.039912898,-0.044167125,0.001138216,-0.009765519,0.001153306,0.006801795,-0.001702086,0.00148284,0.000228806,0.025103173,-0.003558731,-0.000105754,1
TCGA_AD_6964,-0.231964392,0.388498594,0.065828635,0.014085968,0.042990187,-0.064966353,0.026683165,-0.01253703,-0.011818765,0.010869242,0.059087137,-0.065583221,0.001051193,-0.016411391,0.00158682,0.012964573,-0.003143239,0.002340101,-0.00051594,0.037326901,-0.005092642,0.000155836,1
TCGA_AF_2690,-0.579766595,0.962492134,0.151592833,0.032752688,0.114622895,-0.16699143,0.0648613,-0.035517779,-0.027332195,0.025503347,0.14367756,-0.159082016,0.004715656,-0.038163462,0.002137773,0.027892888,-0.009593491,0.005829243,0.002467765,0.090441739,-0.012944025,-0.000255776,1
TCGA_AF_2691,-0.073091892,0.123548105,0.022329397,0.004254296,0.013230549,-0.019974537,0.008608951,-0.003794003,-0.003759651,0.003181461,0.019590216,-0.021389925,0.000802621,-0.00483208,0.000273545,0.003385235,-0.001236304,0.000899161,-0.000620187,0.012342178,-0.001534938,-1.05E-05,1
TCGA_AF_2693,-0.174915624,0.292474126,0.048720805,0.009431643,0.03442955,-0.049964074,0.019772892,-0.010518078,-0.008585396,0.007777615,0.044764094,-0.049388653,0.001629037,-0.011815339,0.000351609,0.007319662,-0.003086051,0.002020497,-0.000631118,0.028606076,-0.003918204,-6.58E-05,1
TCGA_AF_4110,-0.845790907,1.403684661,0.220647191,0.047097027,0.170623764,-0.247087707,0.093814344,-0.053313344,-0.040322402,0.038125445,0.209037728,-0.231001831,0.007799145,-0.054674692,0.001259723,0.034929533,-0.015110048,0.00916394,0.004232364,0.131578816,-0.018911327,-0.00073029,1
TCGA_AF_A56K,-0.081863675,0.137177077,0.021993724,0.004242347,0.015989178,-0.022917956,0.00999368,-0.005223838,-0.003837572,0.003514896,0.021824846,-0.023992564,0.000862105,-0.005412929,0.000191296,0.003303995,-0.001235433,0.000933655,-0.001103369,0.01413256,-0.002088778,-5.95E-05,1
TCGA_AG_3580,-0.160671778,0.268091627,0.043628065,0.00841641,0.031783165,-0.04572797,0.018516471,-0.010028093,-0.007378384,0.007099778,0.04231368,-0.046669831,0.001175929,-0.011095376,0.000240462,0.00673655,-0.002510888,0.001871329,-0.002709245,0.027973211,-0.004230793,-3.19E-05,1
TCGA_AG_3581,-0.184655881,0.307577506,0.050036859,0.010314914,0.036780403,-0.053528482,0.020725301,-0.01127199,-0.008810882,0.008204823,0.046323357,-0.051110149,0.001711913,-0.012082811,0.000297176,0.007990032,-0.003143914,0.00207487,0.000516821,0.029224054,-0.004073799,-8.09E-05,1
TCGA_AG_3583,-0.154255064,0.256540765,0.040731883,0.00819402,0.030878857,-0.044323496,0.017705282,-0.009838746,-0.007049384,0.006958095,0.039539795,-0.043804399,0.001356362,-0.010534559,0.000193021,0.006162746,-0.0024599,0.001692201,-0.001451632,0.025789953,-0.003779462,-0.000121886,1
TCGA_AG_3584,-0.09842001,0.164961293,0.027395414,0.00548725,0.019112244,-0.028239162,0.011262025,-0.005780114,-0.004515835,0.004307306,0.025199223,-0.027768497,0.000860529,-0.005862576,0.000226645,0.004384947,-0.001413477,0.001122285,8.02E-05,0.015875212,-0.002188712,-8.20E-05,1
TCGA_AG_3592,-0.083931716,0.140384179,0.022354591,0.00423286,0.016345206,-0.023372891,0.009698027,-0.005382439,-0.003668222,0.003671847,0.022429806,-0.024763379,0.000657564,-0.005754379,0.000242569,0.003096241,-0.000809841,0.000958239,-0.001659104,0.015022205,-0.002402529,-8.60E-05,1
TCGA_AG_3728,-0.406107175,0.684064988,0.125351512,0.022405952,0.078371271,-0.11626557,0.046621302,-0.021387408,-0.021725694,0.017405835,0.10416028,-0.114211809,0.003683325,-0.026548871,0.000954662,0.017295343,-0.007513892,0.004823454,0.000121498,0.06466171,-0.007624405,-0.000139307,1
TCGA_AG_3731,-0.216241817,0.361405331,0.059871364,0.011886125,0.040933887,-0.060439527,0.024470446,-0.012257629,-0.010880358,0.00953221,0.054858105,-0.060525131,0.001681052,-0.014349922,0.001617947,0.009652268,-0.003862222,0.002529674,0.000110343,0.034705088,-0.004985665,2.58E-05,1
TCGA_AG_3732,-0.135636381,0.228542487,0.03702034,0.007494035,0.025384232,-0.037697607,0.015315554,-0.007205915,-0.006714366,0.005803688,0.034530876,-0.038226276,0.00146006,-0.00759666,0.001229129,0.004022598,-0.002587978,0.000953409,-0.000411576,0.021738491,-0.00346943,-0.00046572,1
TCGA_AG_3878,-0.134934199,0.226136483,0.040101385,0.007948503,0.02600505,-0.038738877,0.016763545,-0.007677064,-0.006457674,0.00557474,0.035161314,-0.038528931,0.001276903,-0.009092549,0.000402758,0.00619524,-0.002240472,0.00149149,-0.000182312,0.021826644,-0.002871183,4.36E-05,1
TCGA_AG_3882,-0.248512193,0.415962342,0.072373529,0.014467405,0.047656749,-0.070772011,0.028725152,-0.014371659,-0.011772629,0.011313054,0.063878874,-0.070670723,0.002280679,-0.016281631,0.000611887,0.010265718,-0.004430023,0.002819449,-0.001491676,0.040714131,-0.005392214,-0.000119593,1
TCGA_AG_3885,-0.112404267,0.190883719,0.036132538,0.00604489,0.021606514,-0.032085377,0.01309759,-0.005694101,-0.006080523,0.004685821,0.029942207,-0.032653818,0.001121566,-0.007468088,0.000213025,0.004751995,-0.002114988,0.001367233,-0.000852719,0.018820927,-0.002272962,-2.10E-05,1
TCGA_AG_3890,-0.360672254,0.602562857,0.098862097,0.019525131,0.071438498,-0.103709901,0.040834179,-0.02182037,-0.017388951,0.015861691,0.092160246,-0.101562562,0.003370947,-0.024170281,0.00046306,0.014674919,-0.00673919,0.00414959,-0.001734442,0.058841414,-0.008175698,-0.000311341,1
